PaschaOffset,Date,Category,Type,English,Greek
,,,,"Martyrs Terence, Pompeios & their companions","Τερεντίου, Πομπηΐου & τῶν σὺν αὐτοῖς μαρτύρων"
,,,,,
,,Movable,,Holy Saturday - Christ’s Descent into Hades,Μέγα Σάββατον - Ἡ εἰς Ἅδου Κάθοδος τοῦ Κυρίου
,,,,Hieromartyr Antipas,Ἀντίπα ἱερομάρτυρος
,,,,Hieromartyr Domninos,Δομνίνου ἱερομάρτυρος
,,,,,
,,Movable,,Holy Pascha,Τὸ Ἅγιον Πάσχα
,,Movable,,The Resurrection of Christ,Ἡ Ἀνάστασις τοῦ Κυρίου
,,,,Basil the Confessor,Βασιλείου τοῦ ὁμολογητοῦ
,,,,Anthousa of Constantinople,Ἀνθούσης ΚΠόλεως
,,,,,
,,Movable,,Bright Week,Διακαινησίμου
,,,,"Martin the Confessor, pope of Rome","Μαρτίνου πάπα Ρώμης, τοῦ ὁμολογητοῦ"
,,,,,
,,,,"Apostles Aristarchos, Pudens & Trophimos of the 70","Ἀριστάρχου, Πούδη & Τροφίμου ἐκ τῶν 70 ἀποστόλων"
,,Movable,,"Martyrs Raphael, Nicholas & Irene of Lesbos","Ραφαήλ, Νικολάου & Εἰρήνης, νεοφανῶν μαρτύρων τῆς Λέσβου"
,,,,,
,,,,Martyr Crescens,Κρήσκεντος μάρτυρος
,,,,"Leonidas, bishop of Athens","Λεωνίδου, ἐπισκόπου Ἀθηνῶν"
,,,,,
,,,,"Martyrs Agape, Irene & Chionia","Ἀγάπης, Εἰρήνης & Χιονίας τῶν μαρτύρων"
,,,,,
,,Movable,,The Life-Giving Spring,Τῆς Ζωοδόχου Πηγῆς
,,,,Hieromartyr Symeon of Persia & his companions,"Συμεὼν ἱερομ., ἐπισκόπου Περσίας & τῶν σὺν αὐτῷ"
,,,,,
,,,,Ven. John the Hesychast,Ἰωάννου τοῦ Ἡσυχαστοῦ
,,,,Martyr Sabbas the Goth,Σάββα στρατηλάτου τοῦ Γότθου
,,,,Ven. Athanasia of Aigina,Ἀθανασίας ὁσίας τῆς Αἰγίνης
,,,,,
,,Movable,,Thomas Sunday,Τοῦ Θωμᾶ
